"Import Salla Categories","استيراد التصنيفات من سلة",""
"Import Salla Products","استيراد المنتجات من سلة",""
"Connect Salla","توصيل النظام بسلة",""
"Salla Integration","تكامل سلة",""
"Import Products from Salla","استيراد المنتجات من سلة",""
"Link Existing Items with Salla Products","ربط المنتجات الموجودة بمنتجات سلة",""
"Sync Status","حالة المزامنة",""
"Sync with Salla","المزامنة مع سلة",""
"Sync Name","مزامنة الاسم",""
"Sync Description","مزامنة الوصف",""
"Sync Price","مزامنة السعر",""
"Sync SKU","مزامنة رمز التخزين",""
"Sync Categories","مزامنة التصنيفات",""
"Sync Images","مزامنة الصور",""
"Sync Stock","مزامنة المخزون",""
"Name Sync Status","حالة مزامنة الاسم",""
"Description Sync Status","حالة مزامنة الوصف",""
"Price Sync Status","حالة مزامنة السعر",""
"SKU Sync Status","حالة مزامنة رمز التخزين",""
"Categories Sync Status","حالة مزامنة التصنيفات",""
"Images Sync Status","حالة مزامنة الصور",""
"Stock Sync Status","حالة مزامنة المخزون",""
"Synced","تمت المزامنة",""
"Not Synced","لم تتم المزامنة",""
"Failed to Sync","فشل في المزامنة",""
"Salla Settings","إعدادات سلة",""
